"id","text","category_id"
37,"Into which basin does the Jordan River flow into?",9
38,"Artis Leon Ivey Jr. is better known as which rap artist?",9
39,"What TV show is about a grandfather dragging his grandson around on adventures?",9
40,"In Touhou 12: Undefined Fantastic Object, which of these was not a playable character?",9
41,"Foie gras is a French delicacy typically made from what part of a duck or goose?",9
42,"In Sid Meier&#039;s Civilization V, which World Wonder can only be built in cities on or next to a desert?",9
43,"Which genre of Hip Hop does MC Frontalot rap?",9
44,"Which member of the Wu-Tang Clan had only one verse in their debut album Enter the Wu-Tang (36 Chambers)?",9
45,"What is the fourth digit of &pi;?",9
46,"The T-Mobile Sidekick smartphone is a re-branded version of the Danger Hiptop.",9
47,"When did the rapper Eazy-E die?",9
48,"In Splatoon 2, who are the members of Off The Hook?",9
49,"How many obsidian blocks are required to build a nether portal in Minecraft?",9
50,"Which movie released in 2016 features Superman and Batman fighting?",10
51,"What is the capital of the American state of Arizona?",10
52,"In golf, what name is given to a hole score of two under par?",10
53,"The Hippogriff, not to be confused with the Griffon, is a magical creature with the front half of an eagle, and the back half of what?",10
54,"Who is the primary lyricist for Canadian progressive rock band Rush?",10
55,"Who is the star of the AMC series Breaking Bad?",10
56,"HTML is what type of language?",10
57,"What mineral has the lowest number on the Mohs scale?",10
58,"What alcoholic drink is made from molasses?",10
59,"Which famous spy novelist wrote the childrens&#039; story &quot;Chitty-Chitty-Bang-Bang&quot;?",10
60,"Which singer was featured in Swedish producer Avicii&#039;s song &quot;Wake Me Up&quot;?",10
61,"What genre of EDM is the Dutch DJ, musician, and remixer Armin van Buuren most well-known for?",10
62,"Which of the following ancient peoples was NOT classified as Hellenic (Greek)?",10
63,"There are 86400 seconds in a day.",10
64,"The collapse of the Soviet Union took place in which year?",10
65,"Pac-Man was invented by the designer Toru Iwatani while he was eating pizza.",10
66,"EDM record label Monstercat is based in which country?",10
67,"Which country is hosting the 2018 FIFA World Cup?",10
68,"Who is the true moon princess in Sailor Moon?",10
69,"Which CS:GO eSports team won the major event ESL One Cologne 2016?",10
70,"Which of these characters in &quot;Stranger Things&quot; has the power of Telekinesis?",10
71,"Joseph Stalin had a criminal past doing what?",10
72,"What is the real name of Canadian electronic music producer deadmau5?",10
73,"Who is the leader of Team Instinct in Pok&eacute;mon Go?",10
74,"In Touhou: Embodiment of Scarlet Devil, what song plays during Flandre Scarlet&#039;s boss fight?",10
75,"What is the name of the main character from the music video of &quot;Shelter&quot; by Porter Robinson and A-1 Studios?",10
76,"In what year was Garry&#039;s Mod released as a standalone title on Valve&#039;s Steam distribution service?",10
77,"What year is considered to be the year that the British Empire ended?",10
78,"Which male player won the gold medal of table tennis singles in 2016 Olympics Games?",10
79,"What is the smallest country in South America by area?",10
80,"What is the last song on the first Panic! At the Disco album?",10
81,"What is the oldest team in Major League Baseball?",10
82,"What do the letters of the fast food chain KFC stand for?",10
83,"How many voice channels does the Super Nintendo Entertainment System support?",10
84,"The LS3 engine is how many cubic inches?",10
85,"What game was used to advertise Steam?",10
86,"In &quot;Super Mario World&quot;, the rhino mini-boss, Reznor, is named after the lead singer of the band &quot;Nine Inch Nails&quot;.",10
87,"Which of these characters from &quot;SpongeBob SquarePants&quot; is not a squid?",10
88,"What is a Burgee?",10
89,"According to the lore of &quot;Starbound&quot;, what does the &quot;Colony Deed&quot; do when it is placed down?",10
90,"Where does &quot;The Legend of Zelda: Majora&#039;s Mask&quot; take place?",10
91,"Which country has the most Trappist breweries?",10
92,"Which Louis was known as &#039;The Sun King of France&#039;?",10
93,"In &quot;Homestuck&quot; the &quot;Kingdom of Darkness&quot; is also known as?",10
94,"Which country claims ownership of the disputed state Kosovo?",10
95,"What animal did Queen Pasipahe sleep with before she gave birth to the Minotaur in Greek Mythology?",10
96,"Which Nazi General was known as the &quot;Desert Fox&quot;?",10
97,"What was Raekwon the Chefs debut solo album?",10
98,"Which year was the album &quot;Year of the Snitch&quot; by Death Grips released?",10
99,"What airline was the owner of the plane that crashed off the coast of Nova Scotia in 1998?",10
100,"AMC&#039;s &quot;The Walking Dead&quot;, Rick, Carl, Daryl, Morgan, Carol and Maggie were introduced to us in Season 1.",11
101,"In the video-game franchise Kingdom Hearts, the main protagonist, carries a weapon with what shape?",11
102,"The Mann Co. Store from Team Fortress 2 has the slogan &quot;We hire mercenaries and get in fights&quot;.",11
103,"What is the scientific name for modern day humans?",11
104,"The surface area of Russia is slightly larger than that of the dwarf planet Pluto.",11
105,"Who is the frontman of the band 30 Seconds to Mars?",11
106,"What is the capital of Chile?",11
107,"What is the name of one of the Neo-Aramaic languages spoken by the Jewish population from Northwestern Iraq?",11
108,"Which of the following former Yugoslavian states is landlocked?",11
109,"The F1 season of 1994 is remembered for what tragic event?",11
110,"Which US state has the highest population?",11
111,"What is the largest lake in the African continent?",11
112,"Deadpool&#039;s identity is Slade Wilson.",11
113,"During the Roman Triumvirate of 42 BCE, what region of the Roman Republic was given to Lepidus?",11
114,"Who created the Cartoon Network series &quot;Adventure Time&quot;?",11
115,"What was the cause of Marilyn Monroes suicide?",11
116,"What year was the United States Declaration of Independence signed?",11
117,"Adolf Hitler was born in Australia. ",11
118,"What was the world&#039;s first handheld game device?",11
119,"Which building was set aflame on August 24th, 1812?",11
120,"In Pok&eacute;mon Sun and Moon, a male Salandit can evolve to a Salazzle.",11
121,"Which of the following Grand Slam tennis tournaments occurs LAST?",11
122,"Which of the following is the oldest of these computers by release date?",11
123,"What are the cylinder-like parts that pump up and down within the engine?",11
124,"Which iconic Disneyland attraction was closed in 2017 to be remodeled as a &quot;Guardians of the Galaxy&quot; themed ride?",11
125,"In &quot;Star Trek&quot;, who was the founder of the Klingon Empire and its philosophy?",11
126,"Which classical composer wrote the &quot;Moonlight Sonata&quot;?",11
127,"What does the Latin phrase &quot;Veni, vidi, vici&quot; translate into English?",11
128,"In &quot;Doctor Who&quot;, the Doctor gets his TARDIS by stealing it.",11
129,"Which of the following guitarists recorded an album as a member of the Red Hot Chili Peppers?",11
130,"The sum of any two odd integers is odd.",11
131,"Dihydrogen Monoxide was banned due to health risks after being discovered in 1983 inside swimming pools and drinking water.",11
132,"What is the species of the &quot;Predator&quot; in the 1987 movie &quot;Predator&quot;?",11
133,"Which animation studio animated &quot;Psycho Pass&quot;?",11
134,"In which fast food chain can you order a Jamocha Shake?",11
135,"Nephelococcygia is the practice of doing what?",11
136,"BMW M GmbH is a subsidiary of BMW AG that focuses on car performance.",11
137,"Which of these is a colony of polyps and not a jellyfish?",11
138,"What was the name of Jonny&#039;s pet dog in The Adventures of Jonny Quest?",11
139,"In Fallout: New Vegas, upon starting each one of the four campaign DLCs, which one of them does not have a warning screen/recommended level? ",11
140,"What are Panama hats made out of?",11
141,"Who is the main character in One Piece?",11
142,"What happened on June 6, 1944?",11
143,"In the cartoon &#039;SpongeBob SquarePants&#039;, what did the acronym E.V.I.L stand for?",11
144,"In Night In The Woods, what is Mae Borowski mother&#039;s name?",11
145,"What is the name for the auditory illusion of a note that seems to be rising infinitely?",11
146,"The Thirty Years War ended with which treaty?",11
147,"In the co-op shooter Payday 2, which contact helps you break out Hoxton?",11
148,"Who is a minor god that is protector and creator of various arts, such as cheese making and bee keeping.",11
149,"Which singer provided the voice of Metroid&#039;s Mother Brain in the animated series &quot;Captain N: The Game Master&quot;?",11
150,"Which of these is a type of monster found in Minecraft?",12
151,"What is the name of the main healing item in Dark Souls?",12
152,"This is the correct spelling of &quot;Supercalifragilisticexpialidocious&quot;.",12
153,"The original Planetside was released in North America on...",12
154,"Steel is an alloy of Iron and Carbon.",12
155,"In baseball, how many fouls are an out?",12
156,"Which famous world leader is famed for the saying, &quot;Let them eat cake&quot;, yet is rumored that he/she never said it at all?",12
157,"The largest consumer market in 2015 was...",12
158,"In Portal 2, the iconic character GLaDOS is turned into:",12
159,"What is the primary addictive substance found in tobacco?",12
160,"A scientific study on peanuts in bars found traces of over 100 unique specimens of urine.",12
161,"Which of these games includes the phrase &quot;Do not pass Go, do not collect $200&quot;?",12
162,"Which of the following countries does &quot;JoJo&#039;s Bizarre Adventure: Stardust Crusaders&quot; not take place in?",12
163,"In the beta version of the 1986 game &quot;The Legend of Zelda&quot;, players have the choice between a sword and what other item?",12
164,"In the show, Doctor Who, what does T.A.R.D.I.S stand for?",12
165,"In the Half-Life series, Gordon Freeman&#039;s signature weapon is a:",12
166,"The &quot;Psycho&quot; series of videos on YouTube was created by which of the following?",12
167,"Rabbits are rodents.",12
168,"What Greek letter is used to signify summation?",12
169,"How tall is Tom Cruise?",12
170,"Which female player won the gold medal of table tennis singles in 2016 Olympics Games?",12
171,"Which soccer team won the Copa Am&eacute;rica Centenario 2016?",12
172,"Who patented a steam engine that produced continuous rotary motion?",12
173,"The voice actor for which Portal 2 character was not a TV or film actor prior to the game?",12
174,"In what year was the game &quot;FTL: Faster Than Light&quot; released?",12
175,"In Macbeth, the eyes of what animals were used in the Witches&#039; cauldron?",12
176,"When was Nintendo&#039;s Virtual Boy released?",12
177,"Who was featured in the song &quot;Words&quot; by Feint? ",12
178,"Which car tire manufacturer is famous for its &quot;Eagle&quot; brand of tires, and is the official tire supplier of NASCAR?",12
179,"In association football, or soccer, a corner kick is when the game restarts after someone scores a goal.",12
180,"What is the capital of India?",12
181,"What was Mountain Dew&#039;s original slogan?",12
182,"What was the first Call of Duty game to include the Zombies gamemode?",12
183,"Which of the following Copy Abilities was only featured in &quot;Kirby &amp; The Amazing Mirror&quot;?",12
184,"Ikki Kurogane is known by what nickname at the beginning of &quot;Chivalry of a Failed Knight&quot;?",12
185,"In &quot;JoJo&#039;s Bizarre Adventure&quot;, which of the following Stands does NOT have a time-based ability?",12
186,"Which country was an allied power in World War II?",12
187,"In which year was League of Legends released?",12
188,"What is the capital city of Slovenia?",12
189,"In the DC Comics 2016 reboot, Rebirth, which speedster escaped from the Speed Force after he had been erased from existance?",12
190,"Which studio animated Afro Samurai?",12
191,"Which Iron Maiden album did the song &quot;Dream of Mirrors&quot; feature in?",12
192,"Which is the world&#039;s longest river?",12
193,"&#039;74&ndash;&#039;75 is a 1993 single from the album Ring by what American band?",12
194,"The Flag of the European Union has how many stars on it?",12
195,"Which of these 1900s tanks were designed and built BEFORE the others?",12
196,"In &quot;Pheonix Wright: Ace Attorney&quot; which character is the District Chief of Police?",12
197,"The snowmobile was invented by Canadian Joseph-Armand Bombardier in 1937.",12
198,"Which NBA player has the most games played over the course of their career?",12
199,"In Bionicle, who was formerly a Av-Matoran and is now the Toa of Light?",12
200,"What was the punishment for Sysiphus&#039;s craftiness?",13
201,"Igneous rocks are formed by excessive heat and pressure.",13
202,"When was the first Call of Duty title released?",13
203,"What event marked the start of World War II?",13
204,"In any programming language, what is the most common way to iterate through an array?",13
205,"What&#039;s the name of Batman&#039;s parents?",13
206,"Rapper Snoop Dogg&#039;s real name is &#039;Cordozar Calvin Broadus, Jr.&#039;.",13
207,"The planet Mars has two moons orbiting it.",13
208,"Who composed the soundtrack for the game VVVVVV?",13
209,"In the Animal Crossing series, which flower is erroneously called the &quot;Jacob&#039;s Ladder&quot;?",13
210,"Which of these chemical compounds is NOT found in gastric acid?",13
211,"In the 2002 video game &quot;Kingdom Hearts&quot;, how many Keyblades are usable?",13
212,"What was the first Disney movie to use CGI?",13
213,"When was the game &#039;Portal 2&#039; released?",13
214,"What is the romanized Korean word for &quot;heart&quot;?",13
215,"In the 1971 film &quot;Willy Wonka &amp; the Chocolate Factory&quot;, who played Willy Wonka?",13
216,"The United States of America declared their independence from the British Empire on July 4th, 1776.",13
217,"In Pokemon Red &amp; Blue, what is the name of HM05?",13
218,"Which one of the following is NOT a sub-company of the Volkswagen Group?",13
219,"What is the surname of the character Daryl in AMC&#039;s show The Walking Dead?",13
220,"What is the name of the family that the domestic cat is a member of?",13
221,"What is the name of the Canadian national anthem?",13
222,"In Rust, how many Timed Explosive Charges does it take to destroy a Ladder Hatch?",13
223,"What is known as &quot;the brain&quot; of the Computer?",13
224,"How many timezones does Russia have?",13
225,"Which of these people was NOT a founder of Apple Inc?",13
226,"In &quot;Starbound&quot;, the track played by the Decorated Music Box is named &quot;Atlas&quot;.",13
227,"Which of these cities has a 4&deg; East longitude. ",13
228,"Before 2016, in which other year did Donald Trump run for President?",13
229,"Released in 2001, the first edition of Apple&#039;s Mac OS X operating system (version 10.0) was given what animal code name?",13
230,"What was the name of the German offensive operation in October 1941 to take Moscow before winter?",13
231,"Hungary is the only country in the world beginning with H.",13
232,"Who played the Waitress in the Spam sketch of &quot;Monty Python&#039;s Flying Circus&quot;?",13
233,"Who is the main character in the video game &quot;Just Cause 3&quot;?",13
234,"The game &quot;Pocket Morty&quot; has a Morty called &quot;Pocket Mortys Morty&quot;?",13
235,"In which game did the Konami Code make its first appearance?",13
236,"The walls of the Goldenrod City Gym in &quot;Pok&eacute;mon Gold and Silver&quot; are arranged in the shape of which Pok&eacute;mon?",13
237,"Which ability from the &quot;Magic: The Gathering&quot; Scars of Mirrodin expansion involves having at least three artifacts in play?",13
238,"In Mulan (1998), who is the leader of the Huns?",13
239,"Which of the following pitchers was named National League Rookie of the Year for the 2013 season?",13
240,"The stuffed tiger in Calvin and Hobbes is named after what philosopher?",13
241,"In Magic: The Gathering, what card&#039;s flavor text is &quot;Catch!&quot;?",13
242,"What mytological creatures have women&#039;s faces and vultures&#039; bodies?",13
243,"The &quot;British Invasion&quot; was a cultural phenomenon in music where British boy bands became popular in the USA in what decade?",13
244,"Which song previously recorded by Elvis Presley was covered by UB40 with a reggae beat?",13
245,"Which musical artist had a prominent role in the 2017 film &quot;Kingsman: The Golden Circle&quot;?",13
246,"The longest shared border in the world can be found between which two nations?",13
247,"The film Mad Max: Fury Road features the Dies Irae  from which composer&#039;s requiem?",13
248,"What was Raekwon the Chefs debut solo album?",13
249,"In the show &#039;Doctor Who&#039;, what is the name of the time-capsule model stolen by &#039;the Doctor&#039;?",13
250,"AMC&#039;s &quot;The Walking Dead&quot;, Rick, Carl, Daryl, Morgan, Carol and Maggie were introduced to us in Season 1.",14
251,"In the TV series &quot;Person of Interest&quot;, who plays the character &quot;Harold Finch&quot;?",14
252,"Daniel Radcliffe became a global star in the film industry due to his performance in which film franchise?",14
253,"In a standard game of Monopoly, what colour are the two cheapest properties?",14
254,"In the TV show &quot;Rick and Morty&quot;, Rick uses the catchphrase &quot;Wubba Lubba Dub Dub&quot;, which means what in Birdperson?",14
255,"What is the name of Jontron&#039;s parrot?",14
256,"What was the name of the security vulnerability found in Bash in 2014?",14
257,"How many legs is it biologically impossible for a centipede to have?",14
258,"French is an official language in Canada.",14
259,"What was the title of the first Bond movie, released in 1962?",14
260,"In the &quot;Harry Potter&quot; series, what is Headmaster Dumbledore&#039;s full name?",14
261,"How many classes are there in Team Fortress 2?",14
262,"Which Toronto landmark was featured on the cover art of Canadian rapper Drake&#039;s 2016 album &quot;Views&quot;?",14
263,"What is the name of Sid&#039;s dog in &quot;Toy Story&quot;?",14
264,"Pablo Picasso is one of the founding fathers of &quot;Cubism.&quot;",14
265,"If you grab the bladed end of a longsword in a specific way, you will not cut yourself.",14
266,"The Angry Video Game Nerd&#039;s alter ego is &quot;Board James&quot;.",14
267,"In &quot;Overwatch&quot;, what is the name of Mercy&#039;s &quot;ultimate ability&quot;?",14
268,"The anime Attack on Titan was directed by Tetsurō Araki, the same person who directed the anime Highschool of the Dead.",14
269,"What year was the game Dishonored released?",14
270,"What is the real name of Canadian electronic music producer deadmau5?",14
271,"What company develops the Rock Band series of rhythm games?",14
272,"What is generally considered to be William Shakespeare&#039;s birth date?",14
273,"In Halo 2, how many rounds does the M6C hold in a single magazine?",14
274,"In what year was Garry&#039;s Mod released as a standalone title on Valve&#039;s Steam distribution service?",14
275,"Who are the original creators of Rachet &amp; Clank?",14
276,"Which of these is not the name of a city in the Grand Theft Auto series?",14
277,"What year is considered to be the year that the British Empire ended?",14
278,"The General Motors EV1 was the first street-legal production electric vehicle.",14
279,"What is the name of the family that the domestic cat is a member of?",14
280,"In what year did the first &quot;The Walking Dead&quot; comic come out?",14
281,"What was the name of Marilyn Monroe&#039;s first husband?",14
282,"When was the game &quot;Roblox&quot; released?",14
283,"In &quot;Donkey Kong Country&quot;, why does Donkey Kong want to know the secret of the crystal coconut?",14
284,"When Donkey Kong died in the &quot;Donkey Kong Country&quot; episode &quot;It&#039;s a Wonderful Life&quot;, who was his guardian angel?",14
285,"When did Tame Impala release their second album?",14
286,"What was the name of Pink Floyd&#039;s first studio album?",14
287,"Who is the main character in the video game &quot;Just Cause 3&quot;?",14
288,"Where does the original Friday The 13th movie take place?",14
289,"In the Kingdom Hearts series, which is not an optional boss you can fight?",14
290,"In AMC&#039;s TV Series &quot;The Walking Dead&quot; what are &quot;Zombies&quot; referred to as?",14
291,"From 1940 to 1942, what was the capital-in-exile of Free France ?",14
292,"What zodiac sign is represented by a pair of scales?",14
293,"In the Half-Life universe, the Black Mesa Research Facility is located in which US state?",14
294,"Which Pok&eacute;mon and it&#039;s evolutions were banned from appearing in a main role after the Episode 38 Incident?",14
295,"Which of the following games has the most playable characters?",14
296,"&quot;Strangereal&quot; is a fictitious Earth-like world for which game series?",14
297,"In Night in the Woods, which instrument did Casey play?",14
298,"Which greek mathematician ran through the streets of Syracuse naked while shouting &quot;Eureka&quot; after discovering the principle of displacement?",14
299,"What is Hypernatremia?",14
300,"What is the approximate value of mathematical constant e?",15
301,"Who voiced the character Draco in the 1996 movie &#039;DragonHeart&#039;?",15
302,"Which president erased the national debt of the United States?",15
303,"By what nickname is Jack Dawkins known in the Charles Dickens novel, &#039;Oliver Twist&#039;?",15
304,"What was the world&#039;s first video game?",15
305,"Which singer was featured in Swedish producer Avicii&#039;s song &quot;Wake Me Up&quot;?",15
306,"Enzo Ferrari was originally an auto racer for what manufacturer before founding his own car company?",15
307,"Which of the following former Yugoslavian states is landlocked?",15
308,"There are 86400 seconds in a day.",15
309,"How many Chaos Emeralds are there in the &quot;Sonic the Hedgehog&quot; universe?",15
310,"On which day did the attempted coup d&#039;etat of 1991 in the Soviet Union begin?",15
311,"What country has a horizontal bicolor red and white flag?",15
312,"What is the French word for &quot;hat&quot;?",15
313,"Deadpool&#039;s identity is Slade Wilson.",15
314,"Generally, which component of a computer draws the most power?",15
315,"How many cores does the Intel i7-6950X have?",15
316,"In Shakespeare&#039;s play Julius Caesar, Caesar&#039;s last words were...",15
317,"TF2: What code does Soldier put into the door keypad in &quot;Meet the Spy&quot;?",15
318,"What company develops the Rock Band series of rhythm games?",15
319,"The 2002 film &quot;28 Days Later&quot; is mainly set in which European country?",15
320,"What musician made the song &quot;Fuckin` Perfect&quot; in 2010?",15
321,"Which one of the following is NOT a sub-company of the Volkswagen Group?",15
322,"Who is the author of the manga series &quot;Astro Boy&quot;?",15
323,"What North American tourist attraction is served by the &quot;Maid of the Mist&quot; tour company?",15
324,"In Pok&eacute;mon, Bulbasaur is the only starter pokemon that is a Grass/Poison type.",15
325,"Who created Ultron of Earth-616?",15
326,"In Rocket League, you can play Basketball.",15
327,"Marilyn Monroe was born on July 1, 1926.",15
328,"According to Overwatch&#039;s lore, who was once a member of the Deadlock Gang?",15
329,"Which operation in &quot;Tom Clancy&#039;s Rainbow Six Siege&quot; introduced the &quot;Skyscraper&quot; map?",15
330,"In which year was Constantinople conquered by the Turks?",15
331,"The board game Go has more possible legal positions than the number of atoms in the visible universe.",15
332,"Which car manufacturer created the &quot;Aventador&quot;?",15
333,"Lady Gaga&#039;s real name is Stefani Joanne Angelina Germanotta.",15
334,"In the &quot;Call Of Duty: Zombies&quot; map &quot;Moon&quot;, there is a secondary called the QED. What does QED stand for?",15
335,"What is the name of the game developer who created &quot;Call Of Duty: Zombies&quot;?",15
336,"According to &quot;Star Wars&quot; lore, which planet does Obi-Wan Kenobi come from?",15
337,"The ghosts in &quot;Pac-Man&quot; and &quot;Ms. Pac-Man&quot; have completely different behavior.",15
338,"What three movies, in order from release date, make up the &quot;Dollars Trilogy&quot;?",15
339,"Which of the following was not an actor/actress on the American television show &quot;Saturday Night Live&quot; in Season 42?",15
340,"Europa Universalis is a strategy video game based on which French board game?",15
341,"Which country was Josef Stalin born in?",15
342,"Why was The Green Monster at Fenway Park was originally built?",15
343,"Which sport is NOT traditionally played during the Mongolian Naadam festival?",15
344,"Who was the only US President to be elected four times?",15
345,"In Fallout: New Vegas, upon starting each one of the four campaign DLCs, which one of them does not have a warning screen/recommended level? ",15
346,"What is the name of the cognitive bias wherein a person with low ability in a particular skill mistake themselves as being superior?",15
347,"Which of these Elements is a metalloid?",15
348,"Which is the hull NO. of the Fletcher class destroyer Fletcher?",15
349,"Who is the half-demon character in Divinity: Original Sin 2 who you talk to to transition between acts?",15
350,"Which of the following is not the name of a &quot;Bond Girl&quot;? ",16
351,"How many Chaos Emeralds can you collect in the first Sonic The Hedgehog?",16
352,"What was the name of Captain Nemo&#039;s submarine in &quot;20,000 Leagues Under the Sea&quot;?",16
353,"In the game &quot;The Sims&quot;, how many Simoleons does each family start with?",16
354,"The most graphically violent game to precede the creation of the ESRB (Entertainment Software Rating Board) was...",16
355,"The Pythagorean theorem states that the square of the hypotenuse is equal to the product of the squares of the other two sides.",16
356,"What position does Harry Potter play in Quidditch?",16
357,"How many Hz does the video standard PAL support?",16
358,"Steel is an alloy of Iron and Carbon.",16
359,"Which country is completely landlocked by South Africa?",16
360,"What was the first video game in the Batman &quot;Arkham&quot; series?",16
361,"Which of the following Mesopotamian mythological figures was NOT a deity?",16
362,"How much does the &#039;AWP&#039; cost in Counter-Strike: Global Offensive?",16
363,"In &quot;Super Mario Bros.&quot;, the clouds and bushes have the same artwork and are just different colors.",16
364,"The historical city Timbuktu is located in which West African country?",16
365,"What is the name given to Indian food cooked over charcoal in a clay oven?",16
366,"In Left 4 Dead, what is the name of the virus, as designated by CEDA, that causes most humans to turn into the Infected?",16
367,"What was another suggested name for, the 1985 film, Back to the Future?",16
368,"TF2: The Medic will be credited for an assist if he heals a Spy that successfully saps a building.",16
369,"Which of these Roman gods doesn&#039;t have a counterpart in Greek mythology?",16
370,"Which of these is NOT a playable character in &quot;Left 4 Dead&quot;?",16
371,"In the Star Trek universe, what color is Vulcan blood?",16
372,"Final Fantasy VI was originally released outside Japan under what name?",16
373,"In what year was the game &quot;Eliminator&quot; released?",16
374,"How tall is One World Trade Center in New York City?",16
375,"This weapon in Counter-Strike: Global Offensive does not exist in real life.",16
376,"The default playermodel of Garry&#039;s Mod is this Half Life 2 character.",16
377,"What North American tourist attraction is served by the &quot;Maid of the Mist&quot; tour company?",16
378,"What genetic disease is caused by having an extra Y chromosome (XYY)?",16
379,"Which of the following bands is Tom DeLonge not a part of?",16
380,"&quot;The first rule is: you don&#039;t talk about it&quot; is a reference to which movie?",16
381,"Who won Big Brother 2014 UK?",16
382,"&quot;The Potato Sack&quot; was a collection of indie games released on Steam in 2011 as a promotion for which game?",16
383,"British actor David Morrissey stars as which role in &quot;The Walking Dead&quot;?",16
384,"Which town was Seamus &quot;Sledge&quot; Cowden from &quot;Tom Clancy&#039;s Rainbow Six Siege&quot; born in?",16
385,"What is the unit of electrical resistance?",16
386,"Who was the director of &quot;Scott Pilgrim vs. the World (2010)&quot;?",16
387,"When was &quot;System Shock&quot; released?",16
388,"In &quot;My Little Pony: Friendship is Magic&quot;, which of these ponies represents the quality of honesty?",16
389,"When was the 3rd album &quot;Notes from the Underground&quot; of the band &quot;Hollywood Undead&quot; released?",16
390,"In Magic: The Gathering, what term for blocking was established in the Portal set?",16
391,"What is the scientific term for &#039;taste&#039;?",16
392,"Which of these is a colony of polyps and not a jellyfish?",16
393,"The Korean War ended in 1953 without any ceasefire.",16
394,"Which scientific unit is named after an Italian nobleman?",16
395,"Which of the following weapons in &quot;Counter-Strike: Global Offensive&quot; does not have a right-click function?",16
396,"What is the name of the alligator in Where&#039;s My Water?",16
397,"Which of the following spacecraft never touched the moon?",16
398,"What is a Tetris piece called?",16
399,"How old is the universe?",16
400,"Daniel Radcliffe became a global star in the film industry due to his performance in which film franchise?",17
401,"In which city, is the Big Nickel located in Canada?",17
402,"According to the International System of Units, how many bytes are in a kilobyte of RAM?",17
403,"Which of these is NOT an album released by The Beatles?",17
404,"Video streaming website YouTube was purchased in it&#039;s entirety by Facebook for US$1.65 billion in stock.",17
405,"Just Cause 2 was mainly set in what fictional Southeast Asian island country?",17
406,"There are no roads in/out of Juneau, Alaska.",17
407,"What does the &#039;S&#039; stand for in the abbreviation SIM, as in SIM card? ",17
408,"Before 2011, &quot;True Capitalist Radio&quot; was known by a different name. What was that name?",17
409,"Which of these features was added in the 1994 game &quot;Heretic&quot; that the original &quot;DOOM&quot; could not add due to limitations?",17
410,"Which of the following countries is within the Eurozone but outside of the Schengen Area?",17
411,"A universal set, or a set that contains all sets, exists.",17
412,"The word &quot;news&quot; originates from the first letters of the 4 main directions on a compass (North, East, West, South).",17
413,"Ashley Frangipane performs under the stage name Halsey.",17
414,"To bypass US Munitions Export Laws, the creator of the PGP published all the source code in book form. ",17
415,"In the War of the Pacific (1879 - 1883), Bolivia lost its access to the Pacific Ocean after being defeated by which South American country?",17
416,"In what year was the game &quot;Fallout&quot; released?",17
417,"Which of these is NOT the name of an album released by English singer-songwriter Adele?",17
418,"Anatomy considers the forms of macroscopic structures such as organs and organ systems.",17
419,"Which of these car models are produced by Lamborghini?",17
420,"In &quot;Fallout 4&quot; which faction is not present in the game?",17
421,"In the TV series Red Dwarf, Kryten&#039;s full name is Kryten 2X4B-523P.",17
